date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:24:48	247/247	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Apr%202018%2016:24:48%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/owl.video.play.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/owl.video.play.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/owl.carousel.min.css)
16:24:49	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Apr%202018%2016:24:49%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_inset-hard_100_fcfdfd_1x100.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_inset-hard_100_fcfdfd_1x100.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/jquery-ui.min.css)
16:24:50	274/274	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Apr%202018%2016:24:49%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_gloss-wave_55_5c9ccc_500x100.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/jquery-ui.min.css)
16:24:50	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%225ab5eacf-286ac%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/fontawesome-webfont3e6e.ttf	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/font-awesome.min.css)
16:24:50	5516/5516	---M--	200	added ('OK')	application/octet-stream	etag:%225ab5eae7-158c%22	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/flaticon/Flaticon.ttf	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/fonts/flaticon/Flaticon.ttf	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/flaticon.css)
16:24:50	267/267	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Apr%202018%2016:24:50%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_glass_85_dfeffc_1x400.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_glass_85_dfeffc_1x400.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/jquery-ui.min.css)
16:24:51	267/267	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Apr%202018%2016:24:50%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_glass_75_d0e5f5_1x400.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_glass_75_d0e5f5_1x400.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/jquery-ui.min.css)
16:24:51	273/273	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Apr%202018%2016:24:51%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_inset-hard_100_f5f8f9_1x100.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/jquery-ui.min.css)
16:24:52	267/267	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Apr%202018%2016:24:51%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_glass_95_fef1ec_1x400.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-bg_glass_95_fef1ec_1x400.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/jquery-ui.min.css)
16:24:52	263/263	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2005%20Apr%202018%2016:24:52%20GMT	http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-icons_469bdd_256x240.png	D:/iosd%20techday/sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/images/ui-icons_469bdd_256x240.png	(from http://sitetemplate.demo.ithemeslab.com/eventex/demo/assets/css/vendor/jquery-ui.min.css)
